,g-r,r-i,i-z,u-g,label
0,1.072,0.114,0.127,0.39299999999999996,0
1,0.995,-0.009000000000000001,-0.035,0.077,1
2,1.131,0.037000000000000005,-0.018000000000000002,0.154,1
3,1.046,0.039,0.019,0.11800000000000001,1
4,0.88,0.15,0.035,0.321,0
5,1.03,0.17800000000000002,0.109,0.385,0
6,0.877,0.141,0.05,0.355,0
7,0.877,0.091,0.131,0.25,0
8,1.0859999999999999,0.033,-0.02,0.153,0
9,0.9790000000000001,0.153,0.059000000000000004,0.38299999999999995,0
10,0.848,0.11599999999999999,0.08,0.304,0
11,0.932,0.11599999999999999,0.023,0.302,0
12,1.075,0.142,0.006,0.392,0
13,1.1909999999999998,-0.004,-0.01,0.06,1
14,1.081,0.105,0.013000000000000001,0.327,0
15,1.0759999999999998,0.04,-0.012,0.141,1
16,1.139,-0.023,-0.051,0.05,1
17,1.109,0.122,0.031,0.369,0
18,0.8540000000000001,0.11800000000000001,0.094,0.27899999999999997,0
19,1.06,0.051,-0.024,0.185,1
20,0.9640000000000001,0.129,0.071,0.38799999999999996,0
21,0.873,0.1,0.061,0.275,0
